WIDTH: 500
[297] - X: -1.000000, Y: 0.124080
[298] - X: -1.000000, Y: 0.126720
[299] - X: -1.000000, Y: 0.129360
[300] - X: -1.000000, Y: 0.132000
[301] - X: -1.000000, Y: 0.134640
[302] - X: -1.000000, Y: 0.137280
[303] - X: -1.000000, Y: 0.139920
[304] - X: -1.000000, Y: 0.142560
[305] - X: -1.000000, Y: 0.145200
[306] - X: -1.000000, Y: 0.147840
[307] - X: -1.000000, Y: 0.150480
[308] - X: -1.000000, Y: 0.153120
[309] - X: -1.000000, Y: 0.155760
[310] - X: -1.000000, Y: 0.158400
[311] - X: -1.000000, Y: 0.161040
[312] - X: -1.000000, Y: 0.163680
[313] - X: -1.000000, Y: 0.166320
[314] - X: -1.000000, Y: 0.168960
[315] - X: -1.000000, Y: 0.171600
[316] - X: -1.000000, Y: 0.174240
[317] - X: -1.000000, Y: 0.176880
[318] - X: -1.000000, Y: 0.179520
[319] - X: -1.000000, Y: 0.182160
[320] - X: -1.000000, Y: 0.184800
[321] - X: -1.000000, Y: 0.187440
[322] - X: -1.000000, Y: 0.190080
[323] - X: -1.000000, Y: 0.192720
[324] - X: -1.000000, Y: 0.195360
[325] - X: -1.000000, Y: 0.198000
[326] - X: -1.000000, Y: 0.200640
[327] - X: -1.000000, Y: 0.203280
[328] - X: -1.000000, Y: 0.205920
[329] - X: -1.000000, Y: 0.208560
[330] - X: -1.000000, Y: 0.211200
[331] - X: -1.000000, Y: 0.213840
[332] - X: -1.000000, Y: 0.216480
[333] - X: -1.000000, Y: 0.219120
[334] - X: -1.000000, Y: 0.221760
[335] - X: -1.000000, Y: 0.224400
[336] - X: -1.000000, Y: 0.227040
[337] - X: -1.000000, Y: 0.229680
[338] - X: -1.000000, Y: 0.232320
[339] - X: -1.000000, Y: 0.234960
[340] - X: -1.000000, Y: 0.237600
[341] - X: -1.000000, Y: 0.240240
[342] - X: -1.000000, Y: 0.242880
[343] - X: -1.000000, Y: 0.245520
[344] - X: -1.000000, Y: 0.248160
[345] - X: -1.000000, Y: 0.250800
[346] - X: -1.000000, Y: 0.253440
[347] - X: -1.000000, Y: 0.256080
[348] - X: -1.000000, Y: 0.258720
[349] - X: -1.000000, Y: 0.261360
[350] - X: -1.000000, Y: 0.264000
[351] - X: -1.000000, Y: 0.266640
[352] - X: -1.000000, Y: 0.269280
[353] - X: -1.000000, Y: 0.271920
[354] - X: -1.000000, Y: 0.274560
[355] - X: -1.000000, Y: 0.277200
[356] - X: -1.000000, Y: 0.279840
[357] - X: -1.000000, Y: 0.282480
[358] - X: -1.000000, Y: 0.285120
[359] - X: -1.000000, Y: 0.287760
[360] - X: -1.000000, Y: 0.290400
[361] - X: -1.000000, Y: 0.293040
[362] - X: -1.000000, Y: 0.295680
[363] - X: -1.000000, Y: 0.298320
[364] - X: -1.000000, Y: 0.300960
[365] - X: -1.000000, Y: 0.303600
[366] - X: -1.000000, Y: 0.306240
[367] - X: -1.000000, Y: 0.308880
[368] - X: -1.000000, Y: 0.311520
[369] - X: -1.000000, Y: 0.314160
[370] - X: -1.000000, Y: 0.316800
[371] - X: -1.000000, Y: 0.319440
[372] - X: -1.000000, Y: 0.322080
[373] - X: -1.000000, Y: 0.324720
[374] - X: -1.000000, Y: 0.327360
[375] - X: -1.000000, Y: 0.330000
[376] - X: -1.000000, Y: 0.332640
[377] - X: -1.000000, Y: 0.335280
[378] - X: -1.000000, Y: 0.337920
[379] - X: -1.000000, Y: 0.340560
[380] - X: -1.000000, Y: 0.343200
[381] - X: -1.000000, Y: 0.345840
[382] - X: -1.000000, Y: 0.348480
[383] - X: -1.000000, Y: 0.351120
[384] - X: -1.000000, Y: 0.353760
[385] - X: -1.000000, Y: 0.356400
[386] - X: -1.000000, Y: 0.359040
[387] - X: -1.000000, Y: 0.361680
[388] - X: -1.000000, Y: 0.364320
[389] - X: -1.000000, Y: 0.366960
[390] - X: -1.000000, Y: 0.369600
[391] - X: -1.000000, Y: 0.372240
[392] - X: -1.000000, Y: 0.374880
[393] - X: -1.000000, Y: 0.377520
[394] - X: -1.000000, Y: 0.380160
[395] - X: -1.000000, Y: 0.382800
[396] - X: -1.000000, Y: 0.385440
[397] - X: -1.000000, Y: 0.388080
[398] - X: -1.000000, Y: 0.390720
[399] - X: -1.000000, Y: 0.393360
[400] - X: -1.000000, Y: 0.396000
[401] - X: -1.000000, Y: 0.398640
[402] - X: -1.000000, Y: 0.401280
[403] - X: -1.000000, Y: 0.403920
[404] - X: -1.000000, Y: 0.406560
[405] - X: -1.000000, Y: 0.409200
[406] - X: -1.000000, Y: 0.411840
[407] - X: -1.000000, Y: 0.414480
[408] - X: -1.000000, Y: 0.417120
[409] - X: -1.000000, Y: 0.419760
[410] - X: -1.000000, Y: 0.422400
[411] - X: -1.000000, Y: 0.425040
[412] - X: -1.000000, Y: 0.427680
[413] - X: -1.000000, Y: 0.430320
[414] - X: -1.000000, Y: 0.432960
[415] - X: -1.000000, Y: 0.435600
[416] - X: -1.000000, Y: 0.438240
[417] - X: -1.000000, Y: 0.440880
[418] - X: -1.000000, Y: 0.443520
[419] - X: -1.000000, Y: 0.446160
[420] - X: -1.000000, Y: 0.448800
[421] - X: -1.000000, Y: 0.451440
[422] - X: -1.000000, Y: 0.454080
[423] - X: -1.000000, Y: 0.456720
[424] - X: -1.000000, Y: 0.459360
[425] - X: -1.000000, Y: 0.462000
[426] - X: -1.000000, Y: 0.464640
[427] - X: -1.000000, Y: 0.467280
[428] - X: -1.000000, Y: 0.469920
[429] - X: -1.000000, Y: 0.472560
[430] - X: -1.000000, Y: 0.475200
[431] - X: -1.000000, Y: 0.477840
[432] - X: -1.000000, Y: 0.480480
[433] - X: -1.000000, Y: 0.483120
[434] - X: -1.000000, Y: 0.485760
[435] - X: -1.000000, Y: 0.488400
[436] - X: -1.000000, Y: 0.491040
[437] - X: -1.000000, Y: 0.493680
[438] - X: -1.000000, Y: 0.496320
[439] - X: -1.000000, Y: 0.498960
[440] - X: -1.000000, Y: 0.501600
[441] - X: -1.000000, Y: 0.504240
[442] - X: -1.000000, Y: 0.506880
[443] - X: -1.000000, Y: 0.509520
[444] - X: -1.000000, Y: 0.512160
[445] - X: -1.000000, Y: 0.514800
[446] - X: -1.000000, Y: 0.517440
[447] - X: -1.000000, Y: 0.520080
[448] - X: -1.000000, Y: 0.522720
[449] - X: -1.000000, Y: 0.525360
[450] - X: -1.000000, Y: 0.528000
[451] - X: -1.000000, Y: 0.530640
[452] - X: -1.000000, Y: 0.533280
[453] - X: -1.000000, Y: 0.535920
[454] - X: -1.000000, Y: 0.538560
[455] - X: -1.000000, Y: 0.541200
[456] - X: -1.000000, Y: 0.543840
[457] - X: -1.000000, Y: 0.546480
[458] - X: -1.000000, Y: 0.549120
[459] - X: -1.000000, Y: 0.551760
[460] - X: -1.000000, Y: 0.554400
[461] - X: -1.000000, Y: 0.557040
[462] - X: -1.000000, Y: 0.559680
[463] - X: -1.000000, Y: 0.562320
[464] - X: -1.000000, Y: 0.564960
[465] - X: -1.000000, Y: 0.567600
[466] - X: -1.000000, Y: 0.570240
[467] - X: -1.000000, Y: 0.572880
